<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.07	02:00:00	2634.66	2635.17	2634.02	2634.36	349	0	20
2025.01.07	02:15:00	2634.37	2634.53	2632.88	2633.00	508	0	20
2025.01.07	02:30:00	2632.96	2633.97	2632.93	2633.29	549	0	20
2025.01.07	02:45:00	2633.19	2635.16	2633.05	2635.02	677	0	20
2025.01.07	03:00:00	2634.97	2637.96	2634.88	2637.31	1798	0	21
2025.01.07	03:15:00	2637.34	2639.11	2635.76	2637.51	1410	0	20
2025.01.07	03:30:00	2637.48	2639.34	2636.30	2638.63	1411	0	18
2025.01.07	03:45:00	2638.66	2641.12	2638.24	2638.96	1261	0	16
2025.01.07	04:00:00	2638.92	2640.09	2637.83	2638.08	1074	0	16
2025.01.07	04:15:00	2638.08	2638.86	2637.01	2638.16	581	0	16
2025.01.07	04:30:00	2638.16	2638.44	2636.97	2637.76	1074	0	17
2025.01.07	04:45:00	2637.76	2639.71	2637.28	2638.12	1214	0	16
2025.01.07	05:00:00	2638.19	2638.88	2637.47	2638.74	841	0	16
2025.01.07	05:15:00	2638.73	2639.44	2638.46	2638.81	502	0	16
2025.01.07	05:30:00	2638.82	2640.20	2638.76	2639.21	644	0	16
2025.01.07	05:45:00	2639.24	2639.58	2638.31	2639.56	413	0	16
2025.01.07	06:00:00	2639.55	2639.78	2638.43	2638.85	628	0	16
2025.01.07	06:15:00	2638.82	2639.47	2637.15	2637.92	814	0	19
2025.01.07	06:30:00	2637.93	2638.64	2637.87	2637.99	441	0	16
2025.01.07	06:45:00	2637.99	2639.67	2637.89	2638.28	629	0	16
2025.01.07	07:00:00	2638.25	2639.51	2637.09	2639.37	691	0	16
2025.01.07	07:15:00	2639.36	2644.20	2639.25	2643.18	1159	0	16
2025.01.07	07:30:00	2643.34	2645.70	2642.67	2644.27	1657	0	21
2025.01.07	07:45:00	2644.27	2645.25	2643.89	2644.46	1414	0	16
2025.01.07	08:00:00	2644.34	2646.67	2644.10	2645.33	1300	0	16
2025.01.07	08:15:00	2645.32	2645.80	2643.20	2645.37	1268	0	16
2025.01.07	08:30:00	2645.38	2645.90	2642.69	2643.58	1159	0	16
2025.01.07	08:45:00	2643.59	2643.76	2639.84	2640.26	1365	0	16
2025.01.07	09:00:00	2640.29	2642.10	2639.91	2640.01	1520	0	12
2025.01.07	09:15:00	2640.06	2641.17	2639.55	2640.78	1017	0	12
2025.01.07	09:30:00	2640.75	2641.32	2638.70	2639.08	1606	0	14
2025.01.07	09:45:00	2639.12	2640.67	2638.03	2640.57	1592	0	12
2025.01.07	10:00:00	2640.54	2643.84	2640.15	2642.83	1969	0	14
2025.01.07	10:15:00	2642.83	2644.70	2642.65	2644.06	1373	0	12
2025.01.07	10:30:00	2644.05	2644.86	2643.21	2643.23	1086	0	12
2025.01.07	10:45:00	2643.28	2643.79	2640.61	2642.71	1271	0	12
2025.01.07	11:00:00	2642.49	2643.07	2640.13	2640.36	1476	0	13
2025.01.07	11:15:00	2640.29	2644.16	2640.23	2644.07	970	0	12
2025.01.07	11:30:00	2643.55	2643.87	2641.09	2641.42	938	0	12
2025.01.07	11:45:00	2641.41	2642.56	2640.64	2641.39	851	0	12
2025.01.07	12:00:00	2641.40	2643.94	2641.32	2643.04	1047	0	12
2025.01.07	12:15:00	2643.03	2643.59	2642.31	2642.64	964	0	12
2025.01.07	12:30:00	2642.67	2644.75	2642.65	2643.85	1419	0	12
2025.01.07	12:45:00	2643.80	2644.16	2642.84	2643.93	586	0	12
2025.01.07	13:00:00	2643.95	2646.93	2643.85	2644.85	965	0	12
2025.01.07	13:15:00	2644.85	2645.52	2642.02	2645.51	1089	0	12
2025.01.07	13:30:00	2645.52	2646.75	2644.64	2646.64	1087	0	12
2025.01.07	13:45:00	2646.83	2648.67	2646.44	2648.50	1245	0	12
2025.01.07	14:00:00	2648.45	2651.33	2647.54	2648.34	1831	0	12
2025.01.07	14:15:00	2648.33	2649.36	2647.48	2648.14	1063	0	12
2025.01.07	14:30:00	2648.16	2651.79	2647.70	2649.72	1245	0	12
2025.01.07	14:45:00	2649.72	2652.72	2649.10	2651.70	1510	0	13
2025.01.07	15:00:00	2651.67	2655.04	2649.96	2654.99	2609	0	12
2025.01.07	15:15:00	2654.95	2661.00	2654.23	2660.45	3065	0	12
2025.01.07	15:30:00	2660.36	2662.02	2657.10	2661.07	2838	0	12
2025.01.07	15:45:00	2661.13	2664.22	2659.88	2662.34	2891	0	12
2025.01.07	16:00:00	2662.43	2662.78	2658.59	2658.61	2428	0	10
2025.01.07	16:15:00	2658.56	2660.68	2655.74	2660.38	2313	0	10
2025.01.07	16:30:00	2660.51	2662.98	2660.12	2661.47	2492	0	10
2025.01.07	16:45:00	2661.41	2661.72	2657.32	2658.61	2506	0	10
2025.01.07	17:00:00	2653.58	2654.85	2642.19	2648.52	3951	0	11
2025.01.07	17:15:00	2648.00	2653.60	2647.95	2651.23	3377	0	11
2025.01.07	17:30:00	2651.25	2652.06	2644.84	2647.49	3151	0	11
2025.01.07	17:45:00	2647.47	2651.00	2645.88	2647.70	2932	0	10
